ticker,market_cap,exchange,quote_type,price,avg_volume,avg_volume_10d,sector,industry,name,dollar_volume,pass_market_cap,pass_price,pass_volume,pass_exchange,pass_quote_type,pass_all
S,5687681024,NYQ,EQUITY,16.97,5500309,6251110,Technology,Software - Infrastructure,"SentinelOne, Inc.",106081336.69999999,True,True,True,True,True,True
SFNC,2719243776,NMS,EQUITY,18.79,1050971,1040120,Financial Services,Banks - Regional,Simmons First National Corporation,19747745.09,True,True,True,True,True,True
SPSC,3170309888,NMS,EQUITY,83.63,500588,420700,Technology,Software - Application,"SPS Commerce, Inc.",41864174.44,True,True,True,True,True,True
SSD,7034988032,NYQ,EQUITY,169.04,290042,347540,Basic Materials,Lumber & Wood Production,"Simpson Manufacturing Co., Inc.",58748161.599999994,True,True,True,True,True,True
TCBI,4298238464,NMS,EQUITY,93.94,472601,438200,Financial Services,Banks - Regional,"Texas Capital Bancshares, Inc.",44396137.94,True,True,True,True,True,True
TILE,1623259136,NMS,EQUITY,27.8,452949,344030,Consumer Cyclical,"Furnishings, Fixtures & Appliances","Interface, Inc.",12591982.200000001,True,True,True,True,True,True
UMBF,8801625088,NMS,EQUITY,115.88,464866,395130,Financial Services,Banks - Regional,UMB Financial Corporation,53868672.08,True,True,True,True,True,True
UPST,4585112064,NMS,EQUITY,47.13,7136522,4616290,Financial Services,Credit Services,"Upstart Holdings, Inc.",336344281.86,True,True,True,True,True,True
WING,7340876288,NMS,EQUITY,262.89,923960,795160,Consumer Cyclical,Restaurants,Wingstop Inc.,242899844.39999998,True,True,True,True,True,True
WTFC,9142233088,NMS,EQUITY,136.51,453509,441780,Financial Services,Banks - Regional,Wintrust Financial Corporation,61908513.589999996,True,True,True,True,True,True
YELP,1889927808,NYQ,EQUITY,29.97,921403,1249900,Communication Services,Internet Content & Information,Yelp Inc.,37459503.0,True,True,True,True,True,True
